"logFC","FC","P.Value","adj.P.Val","entrez_ID","ensembl_ID","merged_symbol","merged_description","ensembl_description","AveExpr","CI.L","CI.R","t"
-2.18475281274427,-4.54648884376776,4.25689923124329e-22,3.88493118364077e-19,"111574709","ENSAOCG00000009513","msmo1","methylsterol monooxygenase 1","methylsterol monooxygenase 1",5.70624372643692,-2.70656428861321,-1.66294133687534,-12.5017810763464
-2.18212761848523,-4.53822336593584,6.25163367003131e-16,3.60020550762391e-14,"111588872","ENSAOCG00000004089","fkbp14","FKBP prolyl isomerase 14","FKBP prolyl isomerase 14",1.66448384617912,-2.85734674381703,-1.50690849315343,-9.64980682414006
-2.13366052012727,-4.38829502123593,1.21072983476088e-11,1.64833749564348e-10,"111572428",NA,"LOC111572428","UDP-glucuronosyltransferase 2C1-like.3",NA,3.89317654570023,-2.96444076999407,-1.30288027026048,-7.66871090930594
-2.08807608448116,-4.2518069222249,7.5730100421809e-16,4.16326697165231e-14,"111571937","ENSAOCG00000008779","ddx11","DEAD/H (Asp-Glu-Ala-Asp/His) box helicase 11","DEAD/H-box helicase 11",1.73431349366159,-2.73675618673412,-1.43939598222819,-9.61167220307022
-2.08478033883485,-4.24210502392031,0.0156689583389076,0.0271331198742052,"111585578",NA,"LOC111585578","uncharacterized LOC111585578",NA,0.421697211644153,-4.61643336923607,0.446872691566377,-2.45889128000447
-2.0692743398404,-4.19675528054313,3.67286528549216e-15,1.55414877247407e-13,"111565393","ENSAOCG00000013289","tcf19l_ENSAOCG00000013289","transcription factor 19 (SC1), like","transcription factor 19",2.44775064117011,-2.73383528958281,-1.40471339009798,-9.29750589911237
-2.06819826158506,-4.19362616927649,1.52118227159061e-10,1.5345733020079e-09,"118471455",NA,"LOC118471455","uncharacterized protein C14orf93 homolog.6",NA,-0.197152090556403,-2.93228109588419,-1.20411542728592,-7.14693775242233
-2.05794505528532,-4.16392780546691,1.51599379129903e-18,2.63318340943536e-16,"111578371","ENSAOCG00000003677","fkbp9","FKBP prolyl isomerase 9","peptidyl-prolyl cis-trans isomerase FKBP9-like",5.66132310389941,-2.62433405167876,-1.49155605889187,-10.8493114444433
-2.03749732456136,-4.10532752233662,7.87967803999208e-12,1.13520070652408e-10,"118470003",NA,"LOC118470003","uncharacterized protein C14orf93 homolog.5",NA,-0.266517901431441,-2.82186545672077,-1.25312919240195,-7.75640209535233
-2.03625457369575,-4.10179267789158,1.48478821341924e-15,7.35157897485602e-14,"111570640","ENSAOCG00000008950","ugl_mlsl","ureidoglycolate lyase","malate synthase-like",2.10990653319986,-2.67777423416143,-1.39473491323007,-9.47775134695211
-2.01146977960959,-4.03192773006709,8.54259658004756e-15,3.15052132090864e-13,"111585219","ENSAOCG00000004254","recql4_ENSAOCG00000004254","RecQ helicase-like 4","RecQ like helicase 4",1.41087185958631,-2.66936348027943,-1.35357607893975,-9.129373861839
-2.00816742385192,-4.02270912737072,5.27688433455806e-19,1.11425034115403e-16,"111564445","ENSAOCG00000003291","apobec2a","apolipoprotein B mRNA editing enzyme, catalytic polypeptide-like 2a","C->U-editing enzyme APOBEC-2-like",4.86849555534457,-2.55030278816278,-1.46603205954107,-11.0605159983137
-2.007388514291,-4.02053785705812,1.27188022145011e-12,2.30199632013383e-11,"111587430","ENSAOCG00000024700","LOC111587430_NASP","histone-binding protein N1/N2-like.1","histone-binding protein N1/N2-like.1",1.81042063807103,-2.74496850167844,-1.26980852690356,-8.12653703202079
-1.99896892748591,-3.99714228128163,6.90038360134304e-16,3.87032453139912e-14,"111587162","ENSAOCG00000023941","dtl","denticleless E3 ubiquitin protein ligase homolog (Drosophila)","denticleless E3 ubiquitin protein ligase homolog",1.88677761832767,-2.61877418640019,-1.37916366857163,-9.63017091466916
-1.99709469633562,-3.99195289318907,3.39801790953534e-21,1.78503682281883e-18,"111570610",NA,"LOC111570610","paralemmin-2-like",NA,2.23934239777634,-2.49081930234269,-1.50337009032855,-12.0780575555097
-1.97720871878947,-3.93730566812756,7.87359828658482e-14,2.17133879508916e-12,"111584293",NA,"LOC111584293","uncharacterized LOC111584293",NA,2.58296564167935,-2.65691758098227,-1.29749985659667,-8.68585935694015
-1.96298396853474,-3.89867520060359,1.79640617801275e-22,2.14949979233548e-19,"111567060",NA,"tnni4b.2","troponin I4b, tandem duplicate 2",NA,3.63991840397176,-2.42528361681758,-1.50068432025189,-12.678748822725
-1.95501464774447,-3.87719863290401,6.33597027605953e-15,2.42387438376146e-13,"111581686","ENSAOCG00000017779","psmc3ip","PSMC3 interacting protein","PSMC3 interacting protein",1.41124094573844,-2.59030020915471,-1.31972908633423,-9.18891510446286
-1.94737393778961,-3.85671873948976,3.74472693003712e-14,1.148916362096e-12,"111585028","ENSAOCG00000008239","chtf8","CTF8, chromosome transmission fidelity factor 8 homolog (S. cerevisiae)","chromosome transmission fidelity factor 8",0.77016275399957,-2.6055640740182,-1.28918380156101,-8.83448407589293
-1.92467060790814,-3.79650157823185,1.4608833404933e-19,3.65866341715636e-17,"111563166","ENSAOCG00000004312","zgc:153675","uncharacterized LOC111563166","transmembrane protein 263-like",4.20137908572283,-2.43243474595702,-1.41690646985926,-11.3182060984607
-1.91582490738691,-3.77329503002423,2.1025429011634e-14,6.98835941439157e-13,"111578802","ENSAOCG00000010698","tfa","transferrin-a","serotransferrin-like",10.6115470018968,-2.55501212741105,-1.27663768736277,-8.94975075216211
-1.90958132571813,-3.75700054619124,0.0101266829623583,0.0183454031157603,"129347938",NA,"LOC129347938","uncharacterized LOC129347938",NA,1.26210879083835,-4.08445921768718,0.265296566250919,-2.62172109638037
-1.89505412473176,-3.71935930482605,1.22317625598908e-10,1.26293241617895e-09,"111579766","ENSAOCG00000018383","rh50_ENSAOCG00000018383","Rh50-like protein","ammonium transporter Rh type B-like",3.51364392475842,-2.68180727086584,-1.10830097859769,-7.19227589467001
-1.88698810099,-3.69862260695806,0.00266219573949449,0.00548063198597135,"118470783",NA,"LOC118470783","cell surface glycoprotein 1-like",NA,1.77612888016243,-3.71517790487354,-0.0587982971064711,-3.08198902262556
-1.88201236121036,-3.68588832585974,8.80061371778022e-10,7.30834485251944e-09,"111570994",NA,"id2b","inhibitor of DNA binding 2b",NA,0.7335251906581,-2.71101702088184,-1.05300770153887,-6.77873581037233
-1.87215921620907,-3.6608006571552,1.78845797298585e-18,3.05712760493407e-16,"111566443",NA,"si:dkey-90m5.4","leucine-rich alpha-2-glycoprotein",NA,3.97646035219543,-2.38898999897197,-1.35532843344617,-10.8162723965452
-1.85430416613132,-3.61577314695859,4.76702778284116e-19,1.01655687511716e-16,"111568560","ENSAOCG00000002523","krcp","kelch repeat-containing protein","uncharacterized LOC111568560",3.14449254594454,-2.35398197662948,-1.35462635563316,-11.0808766029496
-1.85202804943914,-3.61007309761527,2.11580533774356e-16,1.49410542178101e-14,"111580652","ENSAOCG00000007618","chek1","checkpoint kinase 1","checkpoint kinase 1",2.84422761954219,-2.41258833031312,-1.29146776856517,-9.86525796923129
-1.84396021099339,-3.5899411920261,1.14645674132977e-10,1.19350368770937e-09,"111563874","ENSAOCG00000014563","gatm","glycine amidinotransferase (L-arginine:glycine amidinotransferase)","glycine amidinotransferase",6.94116380632101,-2.60807181431908,-1.0798486076677,-7.20572957456443
-1.83521059236325,-3.56823490027768,2.5224553042995e-13,5.85437956293132e-12,"111586691","ENSAOCG00000004515","exo1","exonuclease 1","exonuclease 1",1.8766857404546,-2.48352832862414,-1.18689285610237,-8.45242279729288
-1.83213093814182,-3.56062607864566,1.00668806658965e-09,8.21600893452363e-09,"111586182",NA,"limd1b","LIM domains containing 1b",NA,0.197093926671384,-2.64256537554586,-1.02169650073778,-6.75028065628785
-1.82337252867734,-3.53907547351817,2.3029564469034e-15,1.05087025325012e-13,"111573850","ENSAOCG00000022634","bgnb","biglycan b","biglycan",5.55178467765818,-2.40316656344565,-1.24357849390903,-9.39041688252283
-1.8211703004008,-3.5336773080353,2.94314939791209e-18,4.46405293888948e-16,"111573162","ENSAOCG00000003631","zwilch","zwilch kinetochore protein","zwilch kinetochore protein",1.99756944581231,-2.32859349246547,-1.31374710833613,-10.7167587602192
-1.81065019506519,-3.50800351915655,3.74992458909786e-19,8.41311206249894e-17,"111563287","ENSAOCG00000023910","fkbp7","FKBP prolyl isomerase 7","FKBP prolyl isomerase 7",3.61599157012297,-2.29645557588794,-1.32484481424244,-11.1289820874928
-1.80950974660698,-3.50523154293482,2.54591455388381e-13,5.89611910339241e-12,"111572097","ENSAOCG00000021712","tuba5_ENSAOCG00000021712","tubulin alpha 5","tubulin alpha-8 chain-like",1.86266687539328,-2.44888889104681,-1.17013060216715,-8.4505634892636
-1.80892768113009,-3.50381761782544,5.22950222128119e-16,3.12299198894465e-14,"111582432","ENSAOCG00000009964","ccne2","cyclin E2","G1/S-specific cyclin-E2-like",2.3060257331317,-2.36661512353262,-1.25124023872756,-9.68531048396838
-1.80710617702837,-3.49939659281537,1.00524762299042e-08,6.41321780330796e-08,"129348576",NA,"LOC129348576","uncharacterized LOC129348576",NA,0.0194974295728597,-2.66957194770302,-0.944640406353718,-6.25640725405661
-1.79715369679813,-3.47533896438817,0.0167080400491263,0.0287771104820537,"111572709","ENSAOCG00000000604","LOC111572709_PTCHD3","patched domain-containing protein 3-like","patched domain-containing protein 3-like",-0.993932070562646,-4.00156320188159,0.407255808285333,-2.43431151832852
-1.79711957202446,-3.47525676146267,1.13090750363019e-13,2.9417253397569e-12,"111573749","ENSAOCG00000003114","gask1a","golgi associated kinase 1A","golgi associated kinase 1A",2.52088489817317,-2.42011996056921,-1.17411918347971,-8.61334543762532
-1.7914748912169,-3.46168605631548,3.18947290634927e-18,4.77047690673268e-16,"111586247","ENSAOCG00000000728","rcn3","reticulocalbin 3, EF-hand calcium binding domain","reticulocalbin 3",4.95046856669569,-2.29137283944635,-1.29157694298745,-10.700709639468
-1.79000165236617,-3.45815288596565,8.71319458385414e-13,1.67707582615773e-11,"111570289","ENSAOCG00000021002","tril","TLR4 interactor with leucine-rich repeats","TLR4 interactor with leucine rich repeats",2.58218292964735,-2.44158313666911,-1.13842016806323,-8.20290922582097
-1.78364183853695,-3.44294190728221,5.01556309949605e-11,5.73991487975271e-10,"111578489","ENSAOCG00000021337","frrs1a_ENSAOCG00000021337","ferric-chelate reductase 1a","putative ferric-chelate reductase 1.2",3.25668020560172,-2.50561362853881,-1.0616700485351,-7.37684453464781
-1.76813561634517,-3.40613499974686,4.74685356278706e-12,7.33412711874517e-11,"111585244","ENSAOCG00000003400","rrbp1a","ribosome binding protein 1a","ribosome binding protein 1",6.26605481029284,-2.43987121235825,-1.0964000203321,-7.85959953324344
-1.75524137516126,-3.37582794202578,3.5224497698927e-14,1.09076108641981e-12,"111579328","ENSAOCG00000016096","LOC111579328_HMGCR","3-hydroxy-3-methylglutaryl-coenzyme A reductase-like.1","3-hydroxy-3-methylglutaryl-coenzyme A reductase-like.1",4.93997009473899,-2.34767300704731,-1.16280974327521,-8.84671053214587
-1.749165663424,-3.36164100110036,5.06473479205922e-12,7.77507184257815e-11,"111586534","ENSAOCG00000023859","dscc1","DNA replication and sister chromatid cohesion 1","DNA replication and sister chromatid cohesion 1",1.42208692858664,-2.41481085362517,-1.08352047322283,-7.84641643102838
-1.73771547037592,-3.33506636562249,0.00388394871510186,0.00772557142832137,"129349275",NA,"ercc2","excision repair cross-complementation group 2.1",NA,1.67204260719088,-3.49250469492703,0.0170737541751929,-2.95690190467601
-1.72469325584504,-3.30509847168162,1.76967189263167e-09,1.36564647880691e-08,"111581133","ENSAOCG00000010807","si:ch211-220i18.4_ENSAOCG00000010807","SRSF protein kinase 3.1","SRSF protein kinase 3-like",0.243530538332218,-2.50139366232702,-0.947992849363048,-6.63042765947565
-1.72059865559573,-3.29573137031649,3.63322855767351e-18,5.21771542374289e-16,"111579723",NA,"LOC111579723","peptidyl-prolyl cis-trans isomerase FKBP14-like",NA,2.62394110910735,-2.2018888197,-1.23930849149146,-10.6747030185939
-1.71903092206609,-3.29215194283862,0.0222644685933522,0.0371269839395804,"129349216",NA,"LOC129349216","histone-lysine N-methyltransferase SUV39H1-like",NA,-0.537678300976454,-3.92937475023407,0.491312906101896,-2.3222397895466
-1.71764290503383,-3.28898608632959,3.81836748039541e-10,3.44821797873192e-09,"111580883","ENSAOCG00000022038","LOC111580883_FBXO40","F-box only protein 40-like","F-box only protein 40-like.1",1.29253418601251,-2.45510877481793,-0.980177035249739,-6.95463212681459
-1.71397507187934,-3.28063495867633,9.15749614916603e-15,3.34295172984301e-13,"111573356","ENSAOCG00000014960","cdc45","CDC45 cell division cycle 45 homolog (S. cerevisiae)","cell division cycle 45",2.86726987070173,-2.27541879020092,-1.15253135355776,-9.11552071905377
-1.71365944462091,-3.27991731251403,1.83011680630738e-16,1.32271999242444e-14,"111562938","ENSAOCG00000011050","sqlea","squalene epoxidase a","squalene epoxidase",4.8523676496282,-2.23082689301045,-1.19649199623136,-9.89410569863776
-1.71153219750652,-3.27508465346436,1.88019411590222e-16,1.34091459828815e-14,"111564730","ENSAOCG00000012132","mms22l","MMS22-like, DNA repair protein","MMS22 like, DNA repair protein",2.37712620536086,-2.22833808883992,-1.19472630617313,-9.88873699107549
-1.70449318748712,-3.25914420525479,2.05921844417113e-16,1.45892917271571e-14,"111585130","ENSAOCG00000005712","pcna","proliferating cell nuclear antigen","proliferating cell nuclear antigen",6.99046930332746,-2.22011675873594,-1.1888696162383,-9.87064915935332
-1.70148587755622,-3.25235756764217,9.13091958857235e-16,4.83198393362829e-14,"111562500","ENSAOCG00000009611","dctpp1","dCTP pyrophosphatase 1","dCTP pyrophosphatase 1",3.11518426764949,-2.23212230809852,-1.17084944701393,-9.5744645233011
-1.70032312165863,-3.2497373504136,3.39235224285989e-07,1.55037528286695e-06,"111566847","ENSAOCG00000001464","LOC111566847_ENSAOCG00000001464","apolipoprotein D-like.2","apolipoprotein D-like",0.260400876843446,-2.62866618587188,-0.771980057445385,-5.46897794396119
-1.69725749399646,-3.24283921384951,1.5976819764461e-08,9.77859460321001e-08,"111579998",NA,"LOC111579998","uncharacterized LOC111579998",NA,0.0819056928939601,-2.52061326953648,-0.873901718456443,-6.15521754747491
-1.69573576286494,-3.23942052339496,0.0136246211566324,0.0239568201870805,"129350666",NA,"LOC129350666","uncharacterized LOC129350666",NA,2.07329388757597,-3.7115506198675,0.320079094137621,-2.51183290949138
-1.6907787348544,-3.2283091364981,5.70376613706848e-21,2.61378117149321e-18,"111566770","ENSAOCG00000022666","tyms","thymidylate synthetase","thymidylate synthetase",4.41480372031887,-2.11244703437557,-1.26911043533323,-11.9728911139949
-1.68470104461254,-3.21473773572374,3.45627259660175e-15,1.47935319527339e-13,"111570404","ENSAOCG00000017330","prim1","DNA primase subunit 1","DNA primase subunit 1",3.63389355508422,-2.22505051095148,-1.1443515782736,-9.30960654591769
-1.67639463564476,-3.19628185903548,6.0001672424115e-11,6.72730880099214e-10,"111579186","ENSAOCG00000014737","col1a1b","collagen, type I, alpha 1b","collagen alpha-1(I) chain-like.1",11.6884428803886,-2.35837702078711,-0.994412250502421,-7.33983527643686
-1.6743751985709,-3.19181093865557,1.54148180778785e-15,7.52844335059743e-14,"111586879",NA,"LOC111586879","claspin",NA,4.36955721484883,-2.20230043279137,-1.14644996435043,-9.4702963540369
-1.66507264007285,-3.17129621801583,5.26276208983051e-18,7.31286257359804e-16,"111569726","ENSAOCG00000023376","rpa1","replication protein A1","replication protein A1",5.87868563714917,-2.13407980442267,-1.19606547572304,-10.6007579007249
-1.6595114153271,-3.15909520365235,5.59169422499489e-13,1.16586553937986e-11,"111577414","ENSAOCG00000017883","mcm4","minichromosome maintenance complex component 4","minichromosome maintenance complex component 4",6.05849098218696,-2.25707944002768,-1.06194339062653,-8.29232092954706
-1.65753278474847,-3.15476553050398,3.46936617227663e-17,3.41669143964197e-15,"111578080","ENSAOCG00000014230","pclaf","PCNA clamp associated factor","PCNA clamp associated factor",2.29697754594616,-2.14157537712465,-1.17349019237228,-10.2249632879755
-1.65536000693205,-3.15001785670477,1.37749917008815e-20,5.29796020095689e-18,"111565582","ENSAOCG00000022788","nsdhl","NAD(P) dependent steroid dehydrogenase-like","NAD(P) dependent steroid dehydrogenase-like",4.09233622979304,-2.07444750231229,-1.2362725115518,-11.7942672480358
-1.64636875375261,-3.13044716894567,3.91433599264098e-11,4.61197858914122e-10,"111574595","ENSAOCG00000012680","cdca7a","cell division cycle associated 7a","cell division cycle associated 7",4.98384195019889,-2.30819085273646,-0.984546654768748,-7.42795149039874
-1.64629960766577,-3.13029713516966,2.94108632340019e-17,3.00213825750679e-15,"111577631","ENSAOCG00000010001","LOC111577631_rrm1","ribonucleoside-diphosphate reductase large subunit-like","ribonucleoside-diphosphate reductase large subunit-like",3.85029090123002,-2.12552051935649,-1.16707869597506,-10.2578494792786
-1.644237133111,-3.12582526457409,3.17954459112863e-15,1.38625569643175e-13,"111584389","ENSAOCG00000011597","mnd1","meiotic nuclear divisions 1 homolog (S. cerevisiae)","meiotic nuclear divisions 1",2.18887122460092,-2.17066882362466,-1.11780544259734,-9.32621955026078
-1.64031512353394,-3.11733915528838,2.44818609582473e-18,3.93500239790098e-16,"111589174","ENSAOCG00000016021","e2f8","E2F transcription factor 8","E2F transcription factor 8",3.99124009156148,-2.09578460681731,-1.18484564025058,-10.753534014789
-1.63391583998846,-3.10354236582214,1.45286649226024e-18,2.56490479592632e-16,"118469164",NA,"si:ch211-113d22.2","uncharacterized si:ch211-113d22.2",NA,2.0001636018095,-2.08325104718844,-1.18458063278847,-10.8578151289043
-1.63315968872786,-3.10191615063479,1.10050923086732e-13,2.88004469191012e-12,"111584511","ENSAOCG00000008310","p3h4","prolyl 3-hydroxylase family member 4 (inactive)","prolyl 3-hydroxylase family member 4 (inactive)",2.78159942011162,-2.19896214101743,-1.06735723643828,-8.61880459791993
-1.6300677890603,-3.09527542383813,6.36728992830284e-07,2.73729921109355e-06,"111575541","ENSAOCG00000024193","LOC111575541_ppp1r14ab","protein phosphatase 1 regulatory subunit 14A","protein phosphatase 1 regulatory inhibitor subunit 14A",1.08720398717168,-2.54451618942837,-0.715619388692236,-5.32267157243537
-1.62935777742284,-3.09375248183569,5.78770084456198e-08,3.11872656467791e-07,"111576295","ENSAOCG00000019093","LOC111576295_ENSAOCG00000019093","protein-glutamine gamma-glutamyltransferase 2-like.2","protein-glutamine gamma-glutamyltransferase 2-like.2",2.8028373175685,-2.45811806460535,-0.800597490240324,-5.87044108868074
-1.62572334707948,-3.08596852437283,3.05043570171925e-12,5.0038297139093e-11,"111571312","ENSAOCG00000010301","mcm6","minichromosome maintenance complex component 6","minichromosome maintenance complex component 6",5.70416670216954,-2.23637648378928,-1.01507021036968,-7.94941662707392
-1.62299029021644,-3.08012796666124,9.27940495525936e-13,1.77180694970192e-11,"111576945",NA,"LOC111576945","zinc finger E-box-binding homeobox 2-like",NA,1.97034759852028,-2.21469406845728,-1.0312865119756,-8.19020528967559
-1.62211702439563,-3.07826412398927,3.28077654351234e-14,1.03457342890437e-12,"111567998","ENSAOCG00000020035","dapk2a","death-associated protein kinase 2a","death-associated protein kinase 3-like",1.96426484141561,-2.16873897356315,-1.07549507522811,-8.8609099757185
-1.62209117731503,-3.07820897482334,4.00571361091674e-15,1.64021026144344e-13,"111564975","ENSAOCG00000005405","mcm10","minichromosome maintenance 10 replication initiation factor","minichromosome maintenance 10 replication initiation factor",2.5632275438371,-2.14400589061239,-1.10017646401767,-9.28023407026446
-1.61916742880447,-3.07197703026537,1.24979646673128e-13,3.19313360622281e-12,"111572887","ENSAOCG00000012449","bard1_ENSAOCG00000012449","BRCA1 associated RING domain 1","BRCA1 associated RING domain 1",2.72734388707155,-2.18178626802741,-1.05654858958153,-8.5933143126039
-1.61384335747097,-3.06066120625085,4.59530859434993e-17,4.26611019418573e-15,"111565786","ENSAOCG00000015259","e2f7","E2F transcription factor 7","E2F transcription factor 7",2.91089564602833,-2.08772018265272,-1.13996653228922,-10.1690203697917
-1.61377407227897,-3.0605142220294,2.54595625905314e-16,1.72980460275983e-14,"111565434","ENSAOCG00000008197","dck","deoxycytidine kinase","deoxycytidine kinase",3.11123581534994,-2.10405020993245,-1.12349793462549,-9.82845346841965
-1.60833026127915,-3.04898755403412,7.11406207406512e-15,2.68811699914411e-13,"111570170","ENSAOCG00000009012","pane1","proliferation associated nuclear element","centromere protein M",1.33871937733009,-2.13227592339913,-1.08438459915917,-9.16583833019734
-1.60673174443408,-3.04561112402709,7.07967121109344e-13,1.41300306995728e-11,"111577166","ENSAOCG00000004494","mvda","mevalonate (diphospho) decarboxylase a","mevalonate diphosphate decarboxylase",3.23455296308924,-2.18863071375358,-1.02483277511458,-8.24477853877885
-1.60516072432882,-3.04229641650784,2.73578885339279e-15,1.22247760009074e-13,"111575313","ENSAOCG00000009554","primpol","primase and polymerase (DNA-directed)","primase and DNA directed polymerase",0.885241162652427,-2.11743790428928,-1.09288354436836,-9.35614024336247
-1.60026094219548,-3.03198148200399,6.50094017469795e-14,1.8520800196117e-12,"111568292",NA,"pole","polymerase (DNA directed), epsilon",NA,4.68194899952452,-2.14796832284793,-1.05255356154303,-8.72419613227681
-1.59487336078248,-3.02068000535508,1.59828215135124e-09,1.24723916578996e-08,"111576232",NA,"LOC111576232","uncharacterized LOC111576232",NA,0.570652983162508,-2.31076797698603,-0.878978744578929,-6.65212369294629
-1.58980352294979,-3.01008353111557,6.16896751250029e-06,2.17032378772021e-05,"111567267","ENSAOCG00000011813","gpr180","G protein-coupled receptor 180","G protein-coupled receptor 180",1.60276025356605,-2.58359044503348,-0.596016600866099,-4.77675961187233
-1.58930585169032,-3.00904535349025,6.36203728380562e-15,2.42953118827315e-13,"111573065","ENSAOCG00000000262","phf19","PHD finger protein 19","PHD finger protein 19",3.65433565327608,-2.10579964903342,-1.07281205434721,-9.18809719073779
-1.5885177817625,-3.00740211598313,3.48972489732702e-07,1.59139730761443e-06,"118470998",NA,"LOC118470998","uncharacterized LOC118470998",NA,1.07204567784936,-2.45685486816315,-0.720180695361861,-5.46244326266471
-1.58828106959256,-3.00690871283019,5.3109798044456e-12,8.10383052106469e-11,"111570252","ENSAOCG00000022610","trim101","tripartite motif containing 101","tripartite motif-containing protein 54-like",3.21389541744266,-2.19344651789536,-0.98311562128976,-7.83675814411674
-1.58759052460946,-3.00546980244951,1.06913892545212e-15,5.57290334843023e-14,"111575110","ENSAOCG00000018123","wdhd1","WD repeat and HMG-box DNA binding protein 1","WD repeat and HMG-box DNA binding protein 1",4.20242402932928,-2.08433495726055,-1.09084609195836,-9.54308293747262
-1.58525659630558,-3.00061161691288,3.92117032914292e-09,2.77278748389659e-08,"111568491","ENSAOCG00000024476","guk1b","guanylate kinase 1b","guanylate kinase-like",2.26219521127276,-2.3179853079671,-0.852527884644053,-6.46010486568318
-1.57971001126695,-2.98909761369628,4.27654949750535e-15,1.72862963969019e-13,"111571978","ENSAOCG00000012524","fdps","farnesyl diphosphate synthase (farnesyl pyrophosphate synthetase, dimethylallyltranstransferase, geranyltranstransferase)","farnesyl pyrophosphate synthase-like",4.95731854507768,-2.08870290094237,-1.07071712159153,-9.26720698793015
