"entrez_ID","ensembl_ID_CPF","merged_symbol_CPF","merged_description_CPF","logFC_CPF","logFC_T3IOP","FC_CPF","FC_T3IOP","rank"
"111587639","ENSAOCG00000004715","LOC111587639_cyp27b1","25-hydroxyvitamin D-1 alpha hydroxylase, mitochondrial",-2.25232883246209,-1.22022381339872,-4.76451324584709,-2.32982858431889,46
"111574813","ENSAOCG00000004495","LOC111574813_ENSAOCG00000004495","hemoglobin embryonic subunit alpha.1",-1.27943046562298,-2.97111945573499,-2.42743129977451,-7.84144457064898,47
"111576720",NA,"LOC111576720","G0/G1 switch protein 2-like",-2.49820162003164,-1.14825655204823,-5.6498071362301,-2.21645880985271,49
"111574814","ENSAOCG00000004104","LOC111574814_HBE1","hemoglobin subunit beta-like.2",-1.1982016929063,-3.74787697055459,-2.29453480858025,-13.434558172543,49
"111566442",NA,"LOC111566442","apolipoprotein B-100-like.1",-1.45759562630597,-2.07253192543693,-2.74650254043115,-4.20624220299173,50
"111566432","ENSAOCG00000016132","apobb.1_ENSAOCG00000016132","apolipoprotein Bb, tandem duplicate 1",-1.69308980856213,-1.53286305473184,-3.23348475516701,-2.89359508932228,51
"111574811","ENSAOCG00000004951","LOC111574811_ENSAOCG00000004951","hemoglobin embryonic subunit alpha",-1.37129051532862,-2.14303266402618,-2.5870187589864,-4.41689539035012,51
"111578620","ENSAOCG00000016519","slc22a3","solute carrier family 22 member 3",-1.38965484483316,-2.03018929751169,-2.62015987694915,-4.08458441022373,52
"111566479","ENSAOCG00000013636","elovl5","ELOVL fatty acid elongase 5",-1.74700881227426,-1.20584923261585,-3.35661905127429,-2.306730135027,54
"111581330","ENSAOCG00000004117","LOC111581330_zgc:92749","elongation of very long chain fatty acids protein 6-like.1",-1.27585386347645,-2.32728358095625,-2.42142087978279,-5.01859519297291,54
"111580282",NA,"LOC111580282","trifunctional purine biosynthetic protein adenosine-3-like.4",-1.63876520252665,-1.36452414517989,-3.11399192328873,-2.57491381599071,55
"118471486",NA,"LOC118471486","uncharacterized LOC118471486",-1.6765041481679,-1.31315370866033,-3.19652449255583,-2.48484129122743,56
"111573662","ENSAOCG00000003897","slc25a10a_SLC25A10","solute carrier family 25 member 10a",-2.29989095491683,-1.03016677636695,-4.92420544673124,-2.04226032422363,57
"118471139",NA,"LOC118471139","uncharacterized LOC118471139",-1.74379990614561,-1.18367778010143,-3.34916140758296,-2.27155113147587,58
"129348580",NA,"LOC129348580","uncharacterized LOC129348580",-1.5994969389517,-1.25974559782686,-3.03037627066393,-2.39453512411487,60
"111564742","ENSAOCG00000015379","LOC111564742_ATAD3A","uncharacterized LOC111564742",-1.07356973728461,-2.48183488321252,-2.10463453931332,-5.58607476570899,61
"111564925","ENSAOCG00000000661","fasn_ccdc57","fatty acid synthase",-1.12488782379966,-2.16981790862852,-2.18084588790116,-4.49966597252903,63
"111570821","ENSAOCG00000024028","acss2l","acyl-CoA synthetase short chain family member 2 like",-1.07106715139075,-2.4741703626437,-2.10098687785471,-5.55647664856831,63
"111572913",NA,"pla2g3","phospholipase A2 group III",-1.8338057220736,-1.02261036520234,-3.56476190902947,-2.0315915313061,65
"118470026",NA,"LOC118470026","uncharacterized LOC118470026",-1.58563041180181,-1.17608642590652,-3.00138920359577,-2.25962979018196,66
"118469575",NA,"LOC118469575","uncharacterized LOC118469575",-1.21701479237723,-1.89607223846266,-2.32465205025628,-3.72198499295721,66
"111578618",NA,"LOC111578618","uncharacterized LOC111578618",-1.56956302208936,-1.17541984057856,-2.96814798272944,-2.25858598805906,68
"111588379","ENSAOCG00000021078","elovl6","ELOVL fatty acid elongase 6",-1.25255112291105,-1.39562406279015,-2.38262370929876,-2.63102336913635,71
"111571760","ENSAOCG00000015243","acaca","acetyl-CoA carboxylase alpha",-1.16350884487852,-1.60388425394205,-2.24001570137347,-3.03960583832014,72
"111567052","ENSAOCG00000010343","bpgm","2,3-bisphosphoglycerate mutase",-1.38826820223542,-1.14177939666051,-2.6176427269472,-2.20653005249019,75
"118470951",NA,"angptl8","angiopoietin like 8",-1.27822556681158,-1.19568181368354,-2.42540482294794,-2.29053056385002,76
"111563188","ENSAOCG00000003807","LOC111563188_ENSAOCG00000003807","sodium- and chloride-dependent betaine transporter-like",-1.03524274854835,-1.85641810992653,-2.04945845990307,-3.62107512947747,76
"111584639",NA,"LOC111584639","cilia- and flagella-associated protein 251",-1.53467607024523,-1.02654126280446,-2.89723371730066,-2.03713453769356,77
"111563003",NA,"LOC111563003","uncharacterized LOC111563003",-1.06491841582721,-1.57412562549186,-2.09205157105967,-2.97754977501415,78
"129348905",NA,"LOC129348905","uncharacterized LOC129348905",-1.07409919421787,-1.35992047102293,-2.10540706421571,-2.5667103005859,80
"111564800","ENSAOCG00000012910","aacs","acetoacetyl-CoA synthetase",-1.2907682087673,-1.0981529258447,-2.44658296935689,-2.14080431033631,82
"111585142",NA,"LOC111585142","protocadherin gamma-A9-like.1",-1.2471523355969,-1.12523702815716,-2.37372422597046,-2.18137382557395,86
"111567174","ENSAOCG00000000220","upb1","ureidopropionase, beta",-1.24491548303453,-1.07754487177257,-2.37004669409042,-2.1104415474635,89
"111584855","ENSAOCG00000014463","si:ch211-166a6.5_ENSAOCG00000014463","clustered mitochondria protein homolog.1",-1.04288720481742,-1.12842964618509,-2.06034681548221,-2.18620645112686,95
